# ## ## ## ##X#
 R X  X  X  X X
# ##X##X##X##X#
#X##X## ## ##X#
X XX X   X  X X
#X##X## ## ##X#
# ## ## ##X## #
               
# ## ## ##X## #
# ##X## ##X##X#
   X X   X  X X
# ##X## ##X##X#
# ##X## ## ## #
   X X   X X   
# ##X## ##X## #

episode  0 score -444.00 average score -444.00 epsilon 1.00
episode  1 score 9516.00 average score 4536.00 epsilon 0.95
episode  2 score -324.00 average score 2916.00 epsilon 0.95
episode  3 score 9696.00 average score 4611.00 epsilon 0.92
episode  4 score 9604.00 average score 5609.60 epsilon 0.88
episode  5 score 9608.00 average score 6276.00 epsilon 0.84
episode  6 score 9945.00 average score 6800.14 epsilon 0.81
episode  7 score 10023.00 average score 7203.00 epsilon 0.79
episode  8 score -404.00 average score 6357.78 epsilon 0.79
episode  9 score 9653.00 average score 6687.30 epsilon 0.76
episode  10 score -412.00 average score 6041.91 epsilon 0.76
episode  11 score -412.00 average score 5504.08 epsilon 0.76
episode  12 score -444.00 average score 5046.54 epsilon 0.76
episode  13 score -500.00 average score 4650.36 epsilon 0.76
episode  14 score 9835.00 average score 4996.00 epsilon 0.74
episode  15 score 9827.00 average score 5297.94 epsilon 0.70
episode  16 score 9764.00 average score 5560.65 epsilon 0.68
episode  17 score 9866.00 average score 5799.83 epsilon 0.67
episode  18 score 9918.00 average score 6016.58 epsilon 0.66
episode  19 score 10042.00 average score 6217.85 epsilon 0.64
episode  20 score 9749.00 average score 6386.00 epsilon 0.61
episode  21 score 9719.00 average score 6537.50 epsilon 0.59
episode  22 score 9741.00 average score 6676.78 epsilon 0.56
episode  23 score 9806.00 average score 6807.17 epsilon 0.54
episode  24 score 9850.00 average score 6928.88 epsilon 0.50
episode  25 score 9735.00 average score 7036.81 epsilon 0.48
episode  26 score 9870.00 average score 7141.74 epsilon 0.47
episode  27 score 9760.00 average score 7235.25 epsilon 0.44
episode  28 score 9898.00 average score 7327.07 epsilon 0.43
episode  29 score 10094.00 average score 7419.30 epsilon 0.42
episode  30 score 9718.00 average score 7493.45 epsilon 0.39
episode  31 score 9988.00 average score 7571.41 epsilon 0.38
episode  32 score 9750.00 average score 7637.42 epsilon 0.35
episode  33 score 9870.00 average score 7703.09 epsilon 0.34
episode  34 score 9934.00 average score 7766.83 epsilon 0.34
episode  35 score 10087.00 average score 7831.28 epsilon 0.32
episode  36 score 9743.00 average score 7882.95 epsilon 0.29
episode  37 score 10094.00 average score 7941.13 epsilon 0.29
episode  38 score -356.00 average score 7728.38 epsilon 0.29
episode  39 score 9847.00 average score 7781.35 epsilon 0.27
episode  40 score 9802.00 average score 7830.63 epsilon 0.25
episode  41 score 9798.00 average score 7877.48 epsilon 0.23
episode  42 score 9945.00 average score 7925.56 epsilon 0.23
episode  43 score 9848.00 average score 7969.25 epsilon 0.21
episode  44 score 9720.00 average score 8008.16 epsilon 0.18
episode  45 score 9720.00 average score 8045.37 epsilon 0.13
episode  46 score -348.00 average score 7866.79 epsilon 0.13
episode  47 score 9923.00 average score 7909.62 epsilon 0.13
episode  48 score 10050.00 average score 7953.31 epsilon 0.12
episode  49 score 9815.00 average score 7990.54 epsilon 0.10
episode  50 score 9871.00 average score 8027.41 epsilon 0.07
episode  51 score 9878.00 average score 8063.00 epsilon 0.06
episode  52 score -500.00 average score 7901.43 epsilon 0.06
episode  53 score 9960.00 average score 7939.56 epsilon 0.05
episode  54 score 9536.00 average score 7968.58 epsilon 0.05
episode  55 score -340.00 average score 7820.21 epsilon 0.05
episode  56 score 9642.00 average score 7852.18 epsilon 0.05
episode  57 score 9776.00 average score 7885.34 epsilon 0.05
episode  58 score 9927.00 average score 7919.95 epsilon 0.05
episode  59 score -540.00 average score 7778.95 epsilon 0.05
episode  60 score 9736.00 average score 7811.03 epsilon 0.05
episode  61 score 9792.00 average score 7842.98 epsilon 0.05
episode  62 score 9545.00 average score 7870.00 epsilon 0.05
episode  63 score 9843.00 average score 7900.83 epsilon 0.05
episode  64 score 9868.00 average score 7931.09 epsilon 0.05
episode  65 score 9620.00 average score 7956.68 epsilon 0.05
episode  66 score -524.00 average score 7830.10 epsilon 0.05
episode  67 score -444.00 average score 7708.43 epsilon 0.05
episode  68 score -284.00 average score 7592.59 epsilon 0.05
episode  69 score 9574.00 average score 7620.90 epsilon 0.05
episode  70 score -412.00 average score 7507.76 epsilon 0.05
episode  71 score 9874.00 average score 7540.62 epsilon 0.05
episode  72 score -468.00 average score 7430.92 epsilon 0.05
episode  73 score 9542.00 average score 7459.45 epsilon 0.05
episode  74 score -460.00 average score 7353.85 epsilon 0.05
episode  75 score 9676.00 average score 7384.41 epsilon 0.05
episode  76 score 9856.00 average score 7416.51 epsilon 0.05
episode  77 score 9909.00 average score 7448.46 epsilon 0.05
episode  78 score 9667.00 average score 7476.54 epsilon 0.05
