#X##X##X##X##X#
XRX  X  X  XX X
#X## ## ## ##X#
#X##X##X##X##X#
X X  X  X  XX X
# ## ## ##X##X#
#X##X##X##X##X#
X X  X  XX XX X
# ## ##X##X##X#
#X##X##X##X##X#
X X  XX XX XX X
# ##X##X##X##X#
#X##X##X##X##X#
X XX XX XX XX X
#X##X##X##X##X#

episode  0 score -608.00 average score -608.00 epsilon 0.88
episode  1 score -612.00 average score -610.00 epsilon 0.73
episode  2 score -568.00 average score -596.00 epsilon 0.58
episode  3 score -456.00 average score -561.00 epsilon 0.43
episode  4 score -412.00 average score -531.20 epsilon 0.28
episode  5 score -376.00 average score -505.33 epsilon 0.13
episode  6 score -312.00 average score -477.71 epsilon 0.01
episode  7 score -304.00 average score -456.00 epsilon 0.01
episode  8 score -304.00 average score -439.11 epsilon 0.01
episode  9 score -300.00 average score -425.20 epsilon 0.01
episode  10 score -312.00 average score -414.91 epsilon 0.01
episode  11 score -300.00 average score -405.33 epsilon 0.01
episode  12 score -304.00 average score -397.54 epsilon 0.01
episode  13 score -308.00 average score -391.14 epsilon 0.01
episode  14 score -300.00 average score -385.07 epsilon 0.01
episode  15 score -304.00 average score -380.00 epsilon 0.01
episode  16 score -304.00 average score -375.53 epsilon 0.01
episode  17 score -308.00 average score -371.78 epsilon 0.01
episode  18 score -304.00 average score -368.21 epsilon 0.01
episode  19 score -304.00 average score -365.00 epsilon 0.01
episode  20 score -300.00 average score -361.90 epsilon 0.01
episode  21 score -308.00 average score -359.45 epsilon 0.01
episode  22 score -304.00 average score -357.04 epsilon 0.01
episode  23 score -308.00 average score -355.00 epsilon 0.01
episode  24 score -304.00 average score -352.96 epsilon 0.01
episode  25 score -304.00 average score -351.08 epsilon 0.01
episode  26 score -304.00 average score -349.33 epsilon 0.01
episode  27 score -304.00 average score -347.71 epsilon 0.01
episode  28 score -304.00 average score -346.21 epsilon 0.01
episode  29 score -304.00 average score -344.80 epsilon 0.01
episode  30 score -308.00 average score -343.61 epsilon 0.01
episode  31 score -300.00 average score -342.25 epsilon 0.01
episode  32 score -304.00 average score -341.09 epsilon 0.01
episode  33 score -300.00 average score -339.88 epsilon 0.01
episode  34 score -304.00 average score -338.86 epsilon 0.01
episode  35 score -320.00 average score -338.33 epsilon 0.01
episode  36 score -308.00 average score -337.51 epsilon 0.01
episode  37 score -300.00 average score -336.53 epsilon 0.01
episode  38 score -304.00 average score -335.69 epsilon 0.01
episode  39 score -300.00 average score -334.80 epsilon 0.01
episode  40 score -300.00 average score -333.95 epsilon 0.01
episode  41 score -300.00 average score -333.14 epsilon 0.01
episode  42 score -312.00 average score -332.65 epsilon 0.01
episode  43 score -304.00 average score -332.00 epsilon 0.01
episode  44 score -300.00 average score -331.29 epsilon 0.01
episode  45 score -304.00 average score -330.70 epsilon 0.01
episode  46 score -300.00 average score -330.04 epsilon 0.01
episode  47 score -300.00 average score -329.42 epsilon 0.01
episode  48 score -304.00 average score -328.90 epsilon 0.01
episode  49 score -308.00 average score -328.48 epsilon 0.01
episode  50 score -300.00 average score -327.92 epsilon 0.01
episode  51 score -304.00 average score -327.46 epsilon 0.01
episode  52 score -300.00 average score -326.94 epsilon 0.01
episode  53 score -304.00 average score -326.52 epsilon 0.01
episode  54 score -304.00 average score -326.11 epsilon 0.01
episode  55 score -308.00 average score -325.79 epsilon 0.01
episode  56 score -304.00 average score -325.40 epsilon 0.01
episode  57 score -300.00 average score -324.97 epsilon 0.01
episode  58 score -304.00 average score -324.61 epsilon 0.01
episode  59 score -308.00 average score -324.33 epsilon 0.01
episode  60 score -300.00 average score -323.93 epsilon 0.01
episode  61 score -300.00 average score -323.55 epsilon 0.01
episode  62 score -300.00 average score -323.17 epsilon 0.01
episode  63 score -308.00 average score -322.94 epsilon 0.01
episode  64 score -300.00 average score -322.58 epsilon 0.01
episode  65 score -300.00 average score -322.24 epsilon 0.01
episode  66 score -300.00 average score -321.91 epsilon 0.01
episode  67 score -304.00 average score -321.65 epsilon 0.01
episode  68 score -300.00 average score -321.33 epsilon 0.01
episode  69 score -300.00 average score -321.03 epsilon 0.01
episode  70 score -300.00 average score -320.73 epsilon 0.01
episode  71 score -308.00 average score -320.56 epsilon 0.01
episode  72 score -304.00 average score -320.33 epsilon 0.01
episode  73 score -308.00 average score -320.16 epsilon 0.01
episode  74 score -300.00 average score -319.89 epsilon 0.01
episode  75 score -304.00 average score -319.68 epsilon 0.01
episode  76 score -300.00 average score -319.43 epsilon 0.01
episode  77 score -300.00 average score -319.18 epsilon 0.01
episode  78 score -308.00 average score -319.04 epsilon 0.01
episode  79 score -300.00 average score -318.80 epsilon 0.01
episode  80 score -304.00 average score -318.62 epsilon 0.01
episode  81 score -308.00 average score -318.49 epsilon 0.01
episode  82 score -304.00 average score -318.31 epsilon 0.01
episode  83 score -300.00 average score -318.10 epsilon 0.01
episode  84 score -308.00 average score -317.98 epsilon 0.01
episode  85 score -300.00 average score -317.77 epsilon 0.01
episode  86 score -304.00 average score -317.61 epsilon 0.01
episode  87 score -304.00 average score -317.45 epsilon 0.01
episode  88 score -308.00 average score -317.35 epsilon 0.01
episode  89 score -300.00 average score -317.16 epsilon 0.01
episode  90 score -308.00 average score -317.05 epsilon 0.01
episode  91 score -300.00 average score -316.87 epsilon 0.01
episode  92 score -308.00 average score -316.77 epsilon 0.01
episode  93 score -304.00 average score -316.64 epsilon 0.01
episode  94 score -304.00 average score -316.51 epsilon 0.01
episode  95 score -304.00 average score -316.38 epsilon 0.01
episode  96 score -304.00 average score -316.25 epsilon 0.01
